"titulo","video_id","fecha_vista"
"[GOING SEVENTEEN] EP.111 그르륵 칵칵 TTT #3 (Grrreuk kak kak TTT #3)","B9l2TyhFKIY",2024-08-10
"[GOING SEVENTEEN] EP.110 그르륵 칵칵 TTT #2 (Grrreuk kak kak TTT #2)","VHepAfBAHBA",2024-08-10
"[GOING SEVENTEEN] EP.110 그르륵 칵칵 TTT #2 (Grrreuk kak kak TTT #2)","VHepAfBAHBA",2024-08-09
"[GOING SEVENTEEN] EP.110 그르륵 칵칵 TTT #2 (Grrreuk kak kak TTT #2)","VHepAfBAHBA",2024-07-31
"[GOING SEVENTEEN] EP.109 그르륵 칵칵 TTT #1 (Grrreuk kak kak TTT #1)","Ffz8WsfQNu4",2024-07-31
"[GOING SEVENTEEN] COMEBACK SPECIAL : 경음악의 신 #2 (God of Light Music #2)","VJnLi4MksCk",2024-07-25
"[GOING SEVENTEEN] COMEBACK SPECIAL : 경음악의 신 #1 (God of Light Music #1)","QsfSOZLe-S8",2024-07-25
"[GOING SEVENTEEN] EP.108 반장 선거 #2 (Class President Election #2)","uEgjPvWskJc",2024-07-19
"[GOING SEVENTEEN] EP.108 반장 선거 #2 (Class President Election #2)","uEgjPvWskJc",2024-07-18
"[GOING SEVENTEEN 2020] EP.17 인간 체스 #2 (Human Chess #2)","VGQH5UtfOaE",2024-07-12
"[GOING SEVENTEEN 2020] EP.16 인간 체스 #1 (Human Chess #1)","y1hjOwfU3kM",2024-07-12
